Date,Country,State/Province,Admin2,CasesCount,DeathsCount,RecoveryCount,TotalDosesCount,PartiallyVaccinatedCount,FullyVaccinatedCount,CasesCountSource,DeathsCountSource,RecoveryCountSource,TotalDosesCountSource,PartiallyVaccinatedCountSource,FullyVaccinatedCountSource,PopulationCount
2020-03-01,Afghanistan,TOTAL,,1,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-02,Afghanistan,TOTAL,,1,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-03,Afghanistan,TOTAL,,1,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-04,Afghanistan,TOTAL,,1,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-05,Afghanistan,TOTAL,,1,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-06,Afghanistan,TOTAL,,1,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-07,Afghanistan,TOTAL,,1,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-08,Afghanistan,TOTAL,,4,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-09,Afghanistan,TOTAL,,4,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-10,Afghanistan,TOTAL,,4,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-11,Afghanistan,TOTAL,,7,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-12,Afghanistan,TOTAL,,7,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-13,Afghanistan,TOTAL,,7,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-14,Afghanistan,TOTAL,,7,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-15,Afghanistan,TOTAL,,10,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-16,Afghanistan,TOTAL,,16,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-17,Afghanistan,TOTAL,,21,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-18,Afghanistan,TOTAL,,22,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-19,Afghanistan,TOTAL,,22,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-20,Afghanistan,TOTAL,,22,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-21,Afghanistan,TOTAL,,24,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-22,Afghanistan,TOTAL,,24,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-23,Afghanistan,TOTAL,,34,0,,,,,ECDC,ECDC,,,,,38041757
2020-03-24,Afghanistan,TOTAL,,40,1,,,,,ECDC,ECDC,,,,,38041757
2020-03-25,Afghanistan,TOTAL,,42,1,,,,,ECDC,ECDC,,,,,38041757
2020-03-26,Afghanistan,TOTAL,,75,1,,,,,ECDC,ECDC,,,,,38041757
2020-03-27,Afghanistan,TOTAL,,75,1,,,,,ECDC,ECDC,,,,,38041757
2020-03-28,Afghanistan,TOTAL,,91,2,,,,,ECDC,ECDC,,,,,38041757
2020-03-29,Afghanistan,TOTAL,,106,3,,,,,ECDC,ECDC,,,,,38041757
2020-03-30,Afghanistan,TOTAL,,114,4,,,,,ECDC,ECDC,,,,,38041757
2020-03-31,Afghanistan,TOTAL,,141,4,,,,,ECDC,ECDC,,,,,38041757
2020-03-09,Albania,TOTAL,,2,0,,,,,ECDC,ECDC,,,,,2880913
2020-03-10,Albania,TOTAL,,6,0,,,,,ECDC,ECDC,,,,,2880913
2020-03-11,Albania,TOTAL,,10,0,,,,,ECDC,ECDC,,,,,2880913
2020-03-12,Albania,TOTAL,,11,1,,,,,ECDC,ECDC,,,,,2880913
2020-03-13,Albania,TOTAL,,23,1,,,,,ECDC,ECDC,,,,,2880913
2020-03-14,Albania,TOTAL,,33,1,,,,,ECDC,ECDC,,,,,2880913
2020-03-15,Albania,TOTAL,,38,1,,,,,ECDC,ECDC,,,,,2880913
2020-03-16,Albania,TOTAL,,42,1,,,,,ECDC,ECDC,,,,,2880913
2020-03-17,Albania,TOTAL,,51,1,,,,,ECDC,ECDC,,,,,2880913
2020-03-18,Albania,TOTAL,,55,1,,,,,ECDC,ECDC,,,,,2880913
2020-03-19,Albania,TOTAL,,59,2,,,,,ECDC,ECDC,,,,,2880913
2020-03-20,Albania,TOTAL,,70,2,,,,,ECDC,ECDC,,,,,2880913
2020-03-21,Albania,TOTAL,,70,2,,,,,ECDC,ECDC,,,,,2880913
2020-03-22,Albania,TOTAL,,76,2,,,,,ECDC,ECDC,,,,,2880913
2020-03-23,Albania,TOTAL,,89,2,,,,,ECDC,ECDC,,,,,2880913
2020-03-24,Albania,TOTAL,,100,4,,,,,ECDC,ECDC,,,,,2880913
2020-03-25,Albania,TOTAL,,123,5,,,,,ECDC,ECDC,,,,,2880913
2020-03-26,Albania,TOTAL,,146,5,,,,,ECDC,ECDC,,,,,2880913
2020-03-27,Albania,TOTAL,,174,6,,,,,ECDC,ECDC,,,,,2880913
2020-03-28,Albania,TOTAL,,186,9,,,,,ECDC,ECDC,,,,,2880913
2020-03-29,Albania,TOTAL,,197,10,,,,,ECDC,ECDC,,,,,2880913
2020-03-30,Albania,TOTAL,,212,10,,,,,ECDC,ECDC,,,,,2880913
2020-03-31,Albania,TOTAL,,223,12,,,,,ECDC,ECDC,,,,,2880913
