Date,Country,State/Province,Admin2,CasesCount,DeathsCount,RecoveryCount,TotalDosesCount,PartiallyVaccinatedCount,FullyVaccinatedCount,CasesCountSource,DeathsCountSource,RecoveryCountSource,TotalDosesCountSource,PartiallyVaccinatedCountSource,FullyVaccinatedCountSource,PopulationCount
2020-08-01,Afghanistan,TOTAL,,36710,1283,,,,,ECDC,ECDC,,,,,38041757
2020-08-02,Afghanistan,TOTAL,,36710,1283,,,,,ECDC,ECDC,,,,,38041757
2020-08-03,Afghanistan,TOTAL,,36710,1284,,,,,ECDC,ECDC,,,,,38041757
2020-08-04,Afghanistan,TOTAL,,36747,1288,,,,,ECDC,ECDC,,,,,38041757
2020-08-05,Afghanistan,TOTAL,,36829,1294,,,,,ECDC,ECDC,,,,,38041757
2020-08-06,Afghanistan,TOTAL,,36896,1298,,,,,ECDC,ECDC,,,,,38041757
2020-08-07,Afghanistan,TOTAL,,36937,1298,,,,,ECDC,ECDC,,,,,38041757
2020-08-08,Afghanistan,TOTAL,,37015,1307,,,,,ECDC,ECDC,,,,,38041757
2020-08-09,Afghanistan,TOTAL,,37054,1312,,,,,ECDC,ECDC,,,,,38041757
2020-08-10,Afghanistan,TOTAL,,37054,1312,,,,,ECDC,ECDC,,,,,38041757
2020-08-11,Afghanistan,TOTAL,,37054,1312,,,,,ECDC,ECDC,,,,,38041757
2020-08-12,Afghanistan,TOTAL,,37269,1344,,,,,ECDC,ECDC,,,,,38041757
2020-08-13,Afghanistan,TOTAL,,37345,1354,,,,,ECDC,ECDC,,,,,38041757
2020-08-14,Afghanistan,TOTAL,,37424,1363,,,,,ECDC,ECDC,,,,,38041757
2020-08-15,Afghanistan,TOTAL,,37431,1363,,,,,ECDC,ECDC,,,,,38041757
2020-08-16,Afghanistan,TOTAL,,37551,1370,,,,,ECDC,ECDC,,,,,38041757
2020-08-17,Afghanistan,TOTAL,,37596,1375,,,,,ECDC,ECDC,,,,,38041757
2020-08-18,Afghanistan,TOTAL,,37599,1375,,,,,ECDC,ECDC,,,,,38041757
2020-08-19,Afghanistan,TOTAL,,37599,1375,,,,,ECDC,ECDC,,,,,38041757
2020-08-20,Afghanistan,TOTAL,,37759,1383,,,,,ECDC,ECDC,,,,,38041757
2020-08-21,Afghanistan,TOTAL,,37856,1385,,,,,ECDC,ECDC,,,,,38041757
2020-08-22,Afghanistan,TOTAL,,37894,1385,,,,,ECDC,ECDC,,,,,38041757
2020-08-23,Afghanistan,TOTAL,,37999,1387,,,,,ECDC,ECDC,,,,,38041757
2020-08-24,Afghanistan,TOTAL,,37999,1387,,,,,ECDC,ECDC,,,,,38041757
2020-08-25,Afghanistan,TOTAL,,38070,1397,,,,,ECDC,ECDC,,,,,38041757
2020-08-26,Afghanistan,TOTAL,,38071,1397,,,,,ECDC,ECDC,,,,,38041757
2020-08-27,Afghanistan,TOTAL,,38126,1401,,,,,ECDC,ECDC,,,,,38041757
2020-08-28,Afghanistan,TOTAL,,38129,1401,,,,,ECDC,ECDC,,,,,38041757
2020-08-29,Afghanistan,TOTAL,,38140,1402,,,,,ECDC,ECDC,,,,,38041757
2020-08-30,Afghanistan,TOTAL,,38143,1402,,,,,ECDC,ECDC,,,,,38041757
2020-08-31,Afghanistan,TOTAL,,38162,1402,,,,,ECDC,ECDC,,,,,38041757
2020-08-01,Albania,TOTAL,,5276,157,,,,,ECDC,ECDC,,,,,2880913
2020-08-02,Albania,TOTAL,,5396,161,,,,,ECDC,ECDC,,,,,2880913
2020-08-03,Albania,TOTAL,,5519,166,,,,,ECDC,ECDC,,,,,2880913
2020-08-04,Albania,TOTAL,,5620,172,,,,,ECDC,ECDC,,,,,2880913
2020-08-05,Albania,TOTAL,,5750,176,,,,,ECDC,ECDC,,,,,2880913
2020-08-06,Albania,TOTAL,,5889,182,,,,,ECDC,ECDC,,,,,2880913
2020-08-07,Albania,TOTAL,,6016,188,,,,,ECDC,ECDC,,,,,2880913
2020-08-08,Albania,TOTAL,,6151,189,,,,,ECDC,ECDC,,,,,2880913
2020-08-09,Albania,TOTAL,,6275,193,,,,,ECDC,ECDC,,,,,2880913
2020-08-10,Albania,TOTAL,,6411,199,,,,,ECDC,ECDC,,,,,2880913
2020-08-11,Albania,TOTAL,,6536,200,,,,,ECDC,ECDC,,,,,2880913
2020-08-12,Albania,TOTAL,,6676,205,,,,,ECDC,ECDC,,,,,2880913
2020-08-13,Albania,TOTAL,,6817,208,,,,,ECDC,ECDC,,,,,2880913
2020-08-14,Albania,TOTAL,,6971,213,,,,,ECDC,ECDC,,,,,2880913
2020-08-15,Albania,TOTAL,,7117,219,,,,,ECDC,ECDC,,,,,2880913
2020-08-16,Albania,TOTAL,,7260,225,,,,,ECDC,ECDC,,,,,2880913
2020-08-17,Albania,TOTAL,,7380,228,,,,,ECDC,ECDC,,,,,2880913
2020-08-18,Albania,TOTAL,,7499,230,,,,,ECDC,ECDC,,,,,2880913
2020-08-19,Albania,TOTAL,,7654,232,,,,,ECDC,ECDC,,,,,2880913
2020-08-20,Albania,TOTAL,,7812,234,,,,,ECDC,ECDC,,,,,2880913
2020-08-21,Albania,TOTAL,,7967,238,,,,,ECDC,ECDC,,,,,2880913
2020-08-22,Albania,TOTAL,,8119,240,,,,,ECDC,ECDC,,,,,2880913
2020-08-23,Albania,TOTAL,,8275,245,,,,,ECDC,ECDC,,,,,2880913
2020-08-24,Albania,TOTAL,,8427,250,,,,,ECDC,ECDC,,,,,2880913
2020-08-25,Albania,TOTAL,,8605,254,,,,,ECDC,ECDC,,,,,2880913
2020-08-26,Albania,TOTAL,,8759,259,,,,,ECDC,ECDC,,,,,2880913
2020-08-27,Albania,TOTAL,,8927,263,,,,,ECDC,ECDC,,,,,2880913
2020-08-28,Albania,TOTAL,,9083,266,,,,,ECDC,ECDC,,,,,2880913
2020-08-29,Albania,TOTAL,,9195,271,,,,,ECDC,ECDC,,,,,2880913
2020-08-30,Albania,TOTAL,,9279,275,,,,,ECDC,ECDC,,,,,2880913
2020-08-31,Albania,TOTAL,,9380,280,,,,,ECDC,ECDC,,,,,2880913
2020-08-01,Algeria,TOTAL,,30394,1210,,,,,ECDC,ECDC,,,,,43053054
2020-08-02,Algeria,TOTAL,,30950,1223,,,,,ECDC,ECDC,,,,,43053054
2020-08-03,Algeria,TOTAL,,31465,1231,,,,,ECDC,ECDC,,,,,43053054
2020-08-04,Algeria,TOTAL,,31972,1239,,,,,ECDC,ECDC,,,,,43053054
2020-08-05,Algeria,TOTAL,,32504,1248,,,,,ECDC,ECDC,,,,,43053054
2020-08-06,Algeria,TOTAL,,33055,1261,,,,,ECDC,ECDC,,,,,43053054
2020-08-07,Algeria,TOTAL,,33626,1273,,,,,ECDC,ECDC,,,,,43053054
2020-08-08,Algeria,TOTAL,,34155,1282,,,,,ECDC,ECDC,,,,,43053054
2020-08-09,Algeria,TOTAL,,34693,1293,,,,,ECDC,ECDC,,,,,43053054
2020-08-10,Algeria,TOTAL,,35214,1302,,,,,ECDC,ECDC,,,,,43053054
2020-08-11,Algeria,TOTAL,,35712,1312,,,,,ECDC,ECDC,,,,,43053054
2020-08-12,Algeria,TOTAL,,36204,1322,,,,,ECDC,ECDC,,,,,43053054
2020-08-13,Algeria,TOTAL,,36699,1333,,,,,ECDC,ECDC,,,,,43053054
