Date,Country,State/Province,Admin2,CasesCount,DeathsCount,RecoveryCount,TotalDosesCount,PartiallyVaccinatedCount,FullyVaccinatedCount,CasesCountSource,DeathsCountSource,RecoveryCountSource,TotalDosesCountSource,PartiallyVaccinatedCountSource,FullyVaccinatedCountSource,PopulationCount
2020-07-01,Afghanistan,TOTAL,,31517,746,,,,,ECDC,ECDC,,,,,38041757
2020-07-02,Afghanistan,TOTAL,,31836,774,,,,,ECDC,ECDC,,,,,38041757
2020-07-03,Afghanistan,TOTAL,,32022,807,,,,,ECDC,ECDC,,,,,38041757
2020-07-04,Afghanistan,TOTAL,,32324,819,,,,,ECDC,ECDC,,,,,38041757
2020-07-05,Afghanistan,TOTAL,,32672,826,,,,,ECDC,ECDC,,,,,38041757
2020-07-06,Afghanistan,TOTAL,,32951,864,,,,,ECDC,ECDC,,,,,38041757
2020-07-07,Afghanistan,TOTAL,,33384,920,,,,,ECDC,ECDC,,,,,38041757
2020-07-08,Afghanistan,TOTAL,,33594,936,,,,,ECDC,ECDC,,,,,38041757
2020-07-09,Afghanistan,TOTAL,,33653,937,,,,,ECDC,ECDC,,,,,38041757
2020-07-10,Afghanistan,TOTAL,,33908,957,,,,,ECDC,ECDC,,,,,38041757
2020-07-11,Afghanistan,TOTAL,,34366,994,,,,,ECDC,ECDC,,,,,38041757
2020-07-12,Afghanistan,TOTAL,,34451,1010,,,,,ECDC,ECDC,,,,,38041757
2020-07-13,Afghanistan,TOTAL,,34451,1010,,,,,ECDC,ECDC,,,,,38041757
2020-07-14,Afghanistan,TOTAL,,34455,1012,,,,,ECDC,ECDC,,,,,38041757
2020-07-15,Afghanistan,TOTAL,,34740,1045,,,,,ECDC,ECDC,,,,,38041757
2020-07-16,Afghanistan,TOTAL,,34994,1094,,,,,ECDC,ECDC,,,,,38041757
2020-07-17,Afghanistan,TOTAL,,35070,1115,,,,,ECDC,ECDC,,,,,38041757
2020-07-18,Afghanistan,TOTAL,,35289,1147,,,,,ECDC,ECDC,,,,,38041757
2020-07-19,Afghanistan,TOTAL,,35301,1164,,,,,ECDC,ECDC,,,,,38041757
2020-07-20,Afghanistan,TOTAL,,35475,1181,,,,,ECDC,ECDC,,,,,38041757
2020-07-21,Afghanistan,TOTAL,,35615,1186,,,,,ECDC,ECDC,,,,,38041757
2020-07-22,Afghanistan,TOTAL,,35727,1190,,,,,ECDC,ECDC,,,,,38041757
2020-07-23,Afghanistan,TOTAL,,35915,1211,,,,,ECDC,ECDC,,,,,38041757
2020-07-24,Afghanistan,TOTAL,,35928,1211,,,,,ECDC,ECDC,,,,,38041757
2020-07-25,Afghanistan,TOTAL,,36036,1246,,,,,ECDC,ECDC,,,,,38041757
2020-07-26,Afghanistan,TOTAL,,36157,1259,,,,,ECDC,ECDC,,,,,38041757
2020-07-27,Afghanistan,TOTAL,,36263,1269,,,,,ECDC,ECDC,,,,,38041757
2020-07-28,Afghanistan,TOTAL,,36368,1270,,,,,ECDC,ECDC,,,,,38041757
2020-07-29,Afghanistan,TOTAL,,36471,1271,,,,,ECDC,ECDC,,,,,38041757
2020-07-30,Afghanistan,TOTAL,,36471,1271,,,,,ECDC,ECDC,,,,,38041757
2020-07-31,Afghanistan,TOTAL,,36542,1271,,,,,ECDC,ECDC,,,,,38041757
2020-07-01,Albania,TOTAL,,2535,62,,,,,ECDC,ECDC,,,,,2880913
2020-07-02,Albania,TOTAL,,2580,65,,,,,ECDC,ECDC,,,,,2880913
2020-07-03,Albania,TOTAL,,2662,69,,,,,ECDC,ECDC,,,,,2880913
2020-07-04,Albania,TOTAL,,2752,72,,,,,ECDC,ECDC,,,,,2880913
2020-07-05,Albania,TOTAL,,2819,74,,,,,ECDC,ECDC,,,,,2880913
2020-07-06,Albania,TOTAL,,2893,76,,,,,ECDC,ECDC,,,,,2880913
2020-07-07,Albania,TOTAL,,2964,79,,,,,ECDC,ECDC,,,,,2880913
2020-07-08,Albania,TOTAL,,3038,81,,,,,ECDC,ECDC,,,,,2880913
2020-07-09,Albania,TOTAL,,3106,83,,,,,ECDC,ECDC,,,,,2880913
2020-07-10,Albania,TOTAL,,3188,83,,,,,ECDC,ECDC,,,,,2880913
