Date,Country,State/Province,Admin2,CasesCount,DeathsCount,RecoveryCount,TotalDosesCount,PartiallyVaccinatedCount,FullyVaccinatedCount,CasesCountSource,DeathsCountSource,RecoveryCountSource,TotalDosesCountSource,PartiallyVaccinatedCountSource,FullyVaccinatedCountSource,PopulationCount
2023-07-01,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-02,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-03,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-04,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-05,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-06,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-07,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-08,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-09,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-10,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-11,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-12,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-13,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-14,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-15,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-16,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-17,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-18,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-19,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-20,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-21,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-22,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-23,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-24,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-25,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-26,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-27,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-28,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-29,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-30,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-31,Afghanistan,TOTAL,,49273,1971,,,,,ECDC,ECDC,,,,,38041757
2023-07-01,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-02,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-03,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-04,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-05,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-06,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-07,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-08,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-09,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-10,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-11,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-12,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-13,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-14,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-15,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-16,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-17,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-18,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-19,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-20,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-21,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-22,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-23,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-24,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-25,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-26,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-27,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-28,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-29,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-30,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-31,Albania,TOTAL,,48530,1003,,,,,ECDC,ECDC,,,,,2880913
2023-07-01,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-02,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-03,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-04,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-05,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-06,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-07,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-08,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-09,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-10,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-11,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-12,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-13,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-14,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-15,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-16,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-17,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-18,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-19,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-20,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-21,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-22,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-23,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-24,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-25,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-26,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-27,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-28,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-29,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-30,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-31,Algeria,TOTAL,,92102,2596,,,,,ECDC,ECDC,,,,,43053054
2023-07-01,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-02,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-03,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-04,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-05,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-06,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-07,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-08,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-09,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-10,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-11,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-12,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-13,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-14,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-15,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-16,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-17,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-18,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-19,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-20,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-21,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-22,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-23,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-24,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
2023-07-25,Andorra,TOTAL,,7338,79,,,,,ECDC,ECDC,,,,,77146
