Date,Country,State/Province,Admin2,CasesCount,DeathsCount,RecoveryCount,TotalDosesCount,PartiallyVaccinatedCount,FullyVaccinatedCount,CasesCountSource,DeathsCountSource,RecoveryCountSource,TotalDosesCountSource,PartiallyVaccinatedCountSource,FullyVaccinatedCountSource,PopulationCount
2020-04-01,Afghanistan,TOTAL,,166,4,,,,,ECDC,ECDC,,,,,38041757
2020-04-02,Afghanistan,TOTAL,,192,4,,,,,ECDC,ECDC,,,,,38041757
2020-04-03,Afghanistan,TOTAL,,235,4,,,,,ECDC,ECDC,,,,,38041757
2020-04-04,Afghanistan,TOTAL,,235,4,,,,,ECDC,ECDC,,,,,38041757
2020-04-05,Afghanistan,TOTAL,,270,5,,,,,ECDC,ECDC,,,,,38041757
2020-04-06,Afghanistan,TOTAL,,299,7,,,,,ECDC,ECDC,,,,,38041757
2020-04-07,Afghanistan,TOTAL,,337,7,,,,,ECDC,ECDC,,,,,38041757
2020-04-08,Afghanistan,TOTAL,,367,11,,,,,ECDC,ECDC,,,,,38041757
2020-04-09,Afghanistan,TOTAL,,423,14,,,,,ECDC,ECDC,,,,,38041757
2020-04-10,Afghanistan,TOTAL,,484,15,,,,,ECDC,ECDC,,,,,38041757
2020-04-11,Afghanistan,TOTAL,,521,15,,,,,ECDC,ECDC,,,,,38041757
2020-04-12,Afghanistan,TOTAL,,555,18,,,,,ECDC,ECDC,,,,,38041757
2020-04-13,Afghanistan,TOTAL,,607,18,,,,,ECDC,ECDC,,,,,38041757
2020-04-14,Afghanistan,TOTAL,,665,21,,,,,ECDC,ECDC,,,,,38041757
2020-04-15,Afghanistan,TOTAL,,714,23,,,,,ECDC,ECDC,,,,,38041757
2020-04-16,Afghanistan,TOTAL,,784,25,,,,,ECDC,ECDC,,,,,38041757
2020-04-17,Afghanistan,TOTAL,,794,29,,,,,ECDC,ECDC,,,,,38041757
2020-04-18,Afghanistan,TOTAL,,845,30,,,,,ECDC,ECDC,,,,,38041757
2020-04-19,Afghanistan,TOTAL,,908,30,,,,,ECDC,ECDC,,,,,38041757
2020-04-20,Afghanistan,TOTAL,,996,33,,,,,ECDC,ECDC,,,,,38041757
2020-04-21,Afghanistan,TOTAL,,1031,35,,,,,ECDC,ECDC,,,,,38041757
2020-04-22,Afghanistan,TOTAL,,1092,36,,,,,ECDC,ECDC,,,,,38041757
2020-04-23,Afghanistan,TOTAL,,1176,40,,,,,ECDC,ECDC,,,,,38041757
2020-04-24,Afghanistan,TOTAL,,1281,42,,,,,ECDC,ECDC,,,,,38041757
2020-04-25,Afghanistan,TOTAL,,1351,43,,,,,ECDC,ECDC,,,,,38041757
2020-04-26,Afghanistan,TOTAL,,1463,47,,,,,ECDC,ECDC,,,,,38041757
2020-04-27,Afghanistan,TOTAL,,1531,57,,,,,ECDC,ECDC,,,,,38041757
2020-04-28,Afghanistan,TOTAL,,1703,57,,,,,ECDC,ECDC,,,,,38041757
2020-04-29,Afghanistan,TOTAL,,1827,60,,,,,ECDC,ECDC,,,,,38041757
2020-04-30,Afghanistan,TOTAL,,1949,60,,,,,ECDC,ECDC,,,,,38041757
2020-04-01,Albania,TOTAL,,243,15,,,,,ECDC,ECDC,,,,,2880913
2020-04-02,Albania,TOTAL,,259,15,,,,,ECDC,ECDC,,,,,2880913
2020-04-03,Albania,TOTAL,,277,16,,,,,ECDC,ECDC,,,,,2880913
2020-04-04,Albania,TOTAL,,304,17,,,,,ECDC,ECDC,,,,,2880913
2020-04-05,Albania,TOTAL,,333,19,,,,,ECDC,ECDC,,,,,2880913
2020-04-06,Albania,TOTAL,,361,21,,,,,ECDC,ECDC,,,,,2880913
2020-04-07,Albania,TOTAL,,377,22,,,,,ECDC,ECDC,,,,,2880913
2020-04-08,Albania,TOTAL,,383,22,,,,,ECDC,ECDC,,,,,2880913
2020-04-09,Albania,TOTAL,,400,22,,,,,ECDC,ECDC,,,,,2880913
2020-04-10,Albania,TOTAL,,409,23,,,,,ECDC,ECDC,,,,,2880913
2020-04-11,Albania,TOTAL,,416,23,,,,,ECDC,ECDC,,,,,2880913
2020-04-12,Albania,TOTAL,,433,23,,,,,ECDC,ECDC,,,,,2880913
2020-04-13,Albania,TOTAL,,446,23,,,,,ECDC,ECDC,,,,,2880913
