Date,Country,State/Province,Admin2,CasesCount,DeathsCount,RecoveryCount,TotalDosesCount,PartiallyVaccinatedCount,FullyVaccinatedCount,CasesCountSource,DeathsCountSource,RecoveryCountSource,TotalDosesCountSource,PartiallyVaccinatedCountSource,FullyVaccinatedCountSource,PopulationCount
2020-09-01,Afghanistan,TOTAL,,38196,1406,,,,,ECDC,ECDC,,,,,38041757
2020-09-02,Afghanistan,TOTAL,,38205,1406,,,,,ECDC,ECDC,,,,,38041757
2020-09-03,Afghanistan,TOTAL,,38243,1409,,,,,ECDC,ECDC,,,,,38041757
2020-09-04,Afghanistan,TOTAL,,38288,1410,,,,,ECDC,ECDC,,,,,38041757
2020-09-05,Afghanistan,TOTAL,,38304,1410,,,,,ECDC,ECDC,,,,,38041757
2020-09-06,Afghanistan,TOTAL,,38324,1410,,,,,ECDC,ECDC,,,,,38041757
2020-09-07,Afghanistan,TOTAL,,38398,1412,,,,,ECDC,ECDC,,,,,38041757
2020-09-08,Afghanistan,TOTAL,,38494,1415,,,,,ECDC,ECDC,,,,,38041757
2020-09-09,Afghanistan,TOTAL,,38520,1418,,,,,ECDC,ECDC,,,,,38041757
2020-09-10,Afghanistan,TOTAL,,38544,1420,,,,,ECDC,ECDC,,,,,38041757
2020-09-11,Afghanistan,TOTAL,,38572,1420,,,,,ECDC,ECDC,,,,,38041757
2020-09-12,Afghanistan,TOTAL,,38606,1420,,,,,ECDC,ECDC,,,,,38041757
2020-09-13,Afghanistan,TOTAL,,38641,1420,,,,,ECDC,ECDC,,,,,38041757
2020-09-14,Afghanistan,TOTAL,,38716,1420,,,,,ECDC,ECDC,,,,,38041757
2020-09-15,Afghanistan,TOTAL,,38815,1426,,,,,ECDC,ECDC,,,,,38041757
2020-09-16,Afghanistan,TOTAL,,38855,1436,,,,,ECDC,ECDC,,,,,38041757
2020-09-17,Afghanistan,TOTAL,,38872,1436,,,,,ECDC,ECDC,,,,,38041757
2020-09-18,Afghanistan,TOTAL,,38872,1436,,,,,ECDC,ECDC,,,,,38041757
2020-09-19,Afghanistan,TOTAL,,38919,1437,,,,,ECDC,ECDC,,,,,38041757
2020-09-20,Afghanistan,TOTAL,,39044,1441,,,,,ECDC,ECDC,,,,,38041757
2020-09-21,Afghanistan,TOTAL,,39044,1441,,,,,ECDC,ECDC,,,,,38041757
2020-09-22,Afghanistan,TOTAL,,39074,1444,,,,,ECDC,ECDC,,,,,38041757
2020-09-23,Afghanistan,TOTAL,,39145,1446,,,,,ECDC,ECDC,,,,,38041757
2020-09-24,Afghanistan,TOTAL,,39170,1451,,,,,ECDC,ECDC,,,,,38041757
2020-09-25,Afghanistan,TOTAL,,39186,1451,,,,,ECDC,ECDC,,,,,38041757
2020-09-26,Afghanistan,TOTAL,,39192,1453,,,,,ECDC,ECDC,,,,,38041757
2020-09-27,Afghanistan,TOTAL,,39227,1453,,,,,ECDC,ECDC,,,,,38041757
2020-09-28,Afghanistan,TOTAL,,39227,1453,,,,,ECDC,ECDC,,,,,38041757
2020-09-29,Afghanistan,TOTAL,,39239,1456,,,,,ECDC,ECDC,,,,,38041757
2020-09-30,Afghanistan,TOTAL,,39254,1458,,,,,ECDC,ECDC,,,,,38041757
2020-09-01,Albania,TOTAL,,9513,284,,,,,ECDC,ECDC,,,,,2880913
2020-09-02,Albania,TOTAL,,9606,290,,,,,ECDC,ECDC,,,,,2880913
2020-09-03,Albania,TOTAL,,9728,296,,,,,ECDC,ECDC,,,,,2880913
2020-09-04,Albania,TOTAL,,9844,301,,,,,ECDC,ECDC,,,,,2880913
2020-09-05,Albania,TOTAL,,9967,306,,,,,ECDC,ECDC,,,,,2880913
2020-09-06,Albania,TOTAL,,10102,312,,,,,ECDC,ECDC,,,,,2880913
2020-09-07,Albania,TOTAL,,10255,316,,,,,ECDC,ECDC,,,,,2880913
2020-09-08,Albania,TOTAL,,10406,319,,,,,ECDC,ECDC,,,,,2880913
2020-09-09,Albania,TOTAL,,10553,321,,,,,ECDC,ECDC,,,,,2880913
2020-09-10,Albania,TOTAL,,10704,322,,,,,ECDC,ECDC,,,,,2880913
2020-09-11,Albania,TOTAL,,10860,324,,,,,ECDC,ECDC,,,,,2880913
2020-09-12,Albania,TOTAL,,11021,327,,,,,ECDC,ECDC,,,,,2880913
2020-09-13,Albania,TOTAL,,11185,330,,,,,ECDC,ECDC,,,,,2880913
2020-09-14,Albania,TOTAL,,11353,334,,,,,ECDC,ECDC,,,,,2880913
2020-09-15,Albania,TOTAL,,11520,338,,,,,ECDC,ECDC,,,,,2880913
2020-09-16,Albania,TOTAL,,11672,340,,,,,ECDC,ECDC,,,,,2880913
2020-09-17,Albania,TOTAL,,11816,343,,,,,ECDC,ECDC,,,,,2880913
2020-09-18,Albania,TOTAL,,11948,348,,,,,ECDC,ECDC,,,,,2880913
2020-09-19,Albania,TOTAL,,12073,353,,,,,ECDC,ECDC,,,,,2880913
2020-09-20,Albania,TOTAL,,12226,358,,,,,ECDC,ECDC,,,,,2880913
2020-09-21,Albania,TOTAL,,12385,362,,,,,ECDC,ECDC,,,,,2880913
2020-09-22,Albania,TOTAL,,12535,364,,,,,ECDC,ECDC,,,,,2880913
2020-09-23,Albania,TOTAL,,12666,367,,,,,ECDC,ECDC,,,,,2880913
2020-09-24,Albania,TOTAL,,12787,370,,,,,ECDC,ECDC,,,,,2880913
2020-09-25,Albania,TOTAL,,12921,370,,,,,ECDC,ECDC,,,,,2880913
2020-09-26,Albania,TOTAL,,13045,373,,,,,ECDC,ECDC,,,,,2880913
2020-09-27,Albania,TOTAL,,13153,375,,,,,ECDC,ECDC,,,,,2880913
2020-09-28,Albania,TOTAL,,13259,377,,,,,ECDC,ECDC,,,,,2880913
2020-09-29,Albania,TOTAL,,13391,380,,,,,ECDC,ECDC,,,,,2880913
2020-09-30,Albania,TOTAL,,13518,384,,,,,ECDC,ECDC,,,,,2880913
2020-09-01,Algeria,TOTAL,,44494,1510,,,,,ECDC,ECDC,,,,,43053054
2020-09-02,Algeria,TOTAL,,44833,1518,,,,,ECDC,ECDC,,,,,43053054
2020-09-03,Algeria,TOTAL,,45158,1525,,,,,ECDC,ECDC,,,,,43053054
2020-09-04,Algeria,TOTAL,,45469,1531,,,,,ECDC,ECDC,,,,,43053054
2020-09-05,Algeria,TOTAL,,45773,1539,,,,,ECDC,ECDC,,,,,43053054
2020-09-06,Algeria,TOTAL,,46071,1549,,,,,ECDC,ECDC,,,,,43053054
2020-09-07,Algeria,TOTAL,,46364,1556,,,,,ECDC,ECDC,,,,,43053054
2020-09-08,Algeria,TOTAL,,46653,1562,,,,,ECDC,ECDC,,,,,43053054
2020-09-09,Algeria,TOTAL,,46938,1571,,,,,ECDC,ECDC,,,,,43053054
2020-09-10,Algeria,TOTAL,,47216,1581,,,,,ECDC,ECDC,,,,,43053054
2020-09-11,Algeria,TOTAL,,47488,1591,,,,,ECDC,ECDC,,,,,43053054
2020-09-12,Algeria,TOTAL,,47752,1599,,,,,ECDC,ECDC,,,,,43053054
2020-09-13,Algeria,TOTAL,,48007,1605,,,,,ECDC,ECDC,,,,,43053054
2020-09-14,Algeria,TOTAL,,48254,1612,,,,,ECDC,ECDC,,,,,43053054
2020-09-15,Algeria,TOTAL,,48496,1620,,,,,ECDC,ECDC,,,,,43053054
2020-09-16,Algeria,TOTAL,,48734,1632,,,,,ECDC,ECDC,,,,,43053054
2020-09-17,Algeria,TOTAL,,48966,1645,,,,,ECDC,ECDC,,,,,43053054
2020-09-18,Algeria,TOTAL,,49194,1654,,,,,ECDC,ECDC,,,,,43053054
2020-09-19,Algeria,TOTAL,,49413,1659,,,,,ECDC,ECDC,,,,,43053054
2020-09-20,Algeria,TOTAL,,49623,1665,,,,,ECDC,ECDC,,,,,43053054
2020-09-21,Algeria,TOTAL,,49826,1672,,,,,ECDC,ECDC,,,,,43053054
2020-09-22,Algeria,TOTAL,,50023,1679,,,,,ECDC,ECDC,,,,,43053054
2020-09-23,Algeria,TOTAL,,50214,1689,,,,,ECDC,ECDC,,,,,43053054
2020-09-24,Algeria,TOTAL,,50400,1698,,,,,ECDC,ECDC,,,,,43053054
2020-09-25,Algeria,TOTAL,,50579,1703,,,,,ECDC,ECDC,,,,,43053054
2020-09-26,Algeria,TOTAL,,50754,1707,,,,,ECDC,ECDC,,,,,43053054
2020-09-27,Algeria,TOTAL,,50914,1711,,,,,ECDC,ECDC,,,,,43053054
2020-09-28,Algeria,TOTAL,,51067,1714,,,,,ECDC,ECDC,,,,,43053054
2020-09-29,Algeria,TOTAL,,51213,1719,,,,,ECDC,ECDC,,,,,43053054
2020-09-30,Algeria,TOTAL,,51368,1726,,,,,ECDC,ECDC,,,,,43053054
2020-09-01,Andorra,TOTAL,,1176,53,,,,,ECDC,ECDC,,,,,77146
2020-09-02,Andorra,TOTAL,,1184,53,,,,,ECDC,ECDC,,,,,77146
2020-09-03,Andorra,TOTAL,,1199,53,,,,,ECDC,ECDC,,,,,77146
2020-09-04,Andorra,TOTAL,,1199,53,,,,,ECDC,ECDC,,,,,77146
2020-09-05,Andorra,TOTAL,,1215,53,,,,,ECDC,ECDC,,,,,77146
2020-09-06,Andorra,TOTAL,,1215,53,,,,,ECDC,ECDC,,,,,77146
2020-09-07,Andorra,TOTAL,,1215,53,,,,,ECDC,ECDC,,,,,77146
2020-09-08,Andorra,TOTAL,,1261,53,,,,,ECDC,ECDC,,,,,77146
2020-09-09,Andorra,TOTAL,,1261,53,,,,,ECDC,ECDC,,,,,77146
2020-09-10,Andorra,TOTAL,,1301,53,,,,,ECDC,ECDC,,,,,77146
2020-09-11,Andorra,TOTAL,,1301,53,,,,,ECDC,ECDC,,,,,77146
